TargetID1,TargetID2
O96017,O14757
P00533,O14757
P30291,O14757
P42345,O14757
P31749,O14757
P28482,O14757
P11387,O14757
Q13315,O14757
P06493,O14757
Q9UBN7,O14757
P11802,O96017
P53350,O96017
P27361,O96017
P28482,O96017
Q13315,O96017
Q9H4B4,O96017
P04626,P00533
P08069,P00533
P08581,P00533
P21860,P00533
P09619,P00533
P15056,P00533
P00519,P00533
P12931,P00533
O60674,P00533
P42336,P00533
P25440,P00533
Q15059,P00533
O60885,P00533
P07949,P00533
P07948,P00533
Q16539,P00533
Q9UBN7,P00533
O96017,P04626
P00533,P04626
P11802,P04626
P08069,P04626
P21860,P04626
P09619,P04626
P00519,P04626
P12931,P04626
P04049,P04626
P42684,P04626
P41240,P04626
P07948,P04626
Q9UBN7,P04626
Q15303,P04626
O14757,Q02750
P04626,Q02750
P36507,Q02750
P27361,Q02750
P28482,Q02750
P15056,Q02750
P12931,Q02750
P04049,Q02750
O14965,Q02750
P42336,Q02750
O60885,Q02750
Q92769,Q02750
P00533,P36507
Q02750,P36507
P27361,P36507
P28482,P36507
P15056,P36507
P04049,P36507
P41240,P36507
P11142,P36507
P04626,P11802
Q00534,P11802
P08069,P11802
P08581,P11802
P53350,P11802
P10415,P11802
P28482,P11802
P04049,P11802
P06493,P11802
P07437,P11802
P11142,P11802
Q16539,P11802
P04626,Q00534
P11802,Q00534
P08581,Q00534
P04049,Q00534
P06493,Q00534
Q16539,Q00534
O14757,P08069
P00533,P08069
P04626,P08069
Q02750,P08069
P15056,P08069
P12931,P08069
P23458,P08069
P07949,P08069
P41240,P08069
P07948,P08069
Q9UBN7,P08069
O14757,P08581
P00533,P08581
P04626,P08581
P49841,P08581
P12931,P08581
P04049,P08581
P07948,P08581
P04626,Q9UM73
P00533,P21860
P04626,P21860
P08581,P21860
P31749,P21860
P11362,P21860
P00519,P21860
P12931,P21860
O60674,P21860
Q9UBN7,P21860
O14757,P30291
O96017,P30291
P53350,P30291
P31749,P30291
P11387,P30291
P06493,P30291
P11274,P30291
O96017,P53350
P00533,P53350
Q9H4B4,P53350
O14965,P53350
Q9UBN7,P53350
P09874,P10415
P28482,P10415
P04049,P10415
P06493,P10415
O60885,P10415
Q92934,P10415
O14757,P09874
P00533,P09874
P31751,P09874
P15056,P09874
P49840,P09874
P49841,P09874
P11387,P09874
Q13315,P09874
P06493,P09874
Q13547,P09874
O60885,P09874
Q92769,P09874
Q9UBN7,P09874
Q9Y6F1,P09874
P00533,Q9UGN5
P09874,Q9UGN5
Q13547,Q9UGN5
P00533,P09619
P04626,P09619
P11362,P09619
P00519,P09619
P12931,P09619
P04049,P09619
P42684,P09619
P06241,P09619
P12931,P10721
P06239,P10721
P06241,P10721
P11274,P10721
P07948,P10721
O14757,P42345
P00533,P42345
Q02750,P42345
P08069,P42345
P30291,P42345
P09874,P42345
P31749,P42345
P28482,P42345
P49841,P42345
P00519,P42345
P00533,P31749
P04626,P31749
P11802,P31749
Q00534,P31749
P08069,P31749
P30291,P31749
P42345,P31749
P11362,P31749
P15056,P31749
P49840,P31749
P12931,P31749
P04049,P31749
O14965,P31749
Q9Y243,P31749
P42336,P31749
P45984,P31749
O15379,P31749
P29317,P31749
P41240,P31749
P11142,P31749
Q16539,P31749
P00533,P31751
P31749,P31751
P49841,P31751
P41240,P31751
P07948,P31751
P00533,P11362
P04626,P11362
P31749,P11362
P21802,P11362
P07947,P11362
P04626,P21802
P15056,P21802
P35916,P21802
P51692,P21802
P06241,P21802
P07948,P21802
P04626,P22607
Q00534,P22607
P21802,P22607
P25440,P22607
O60885,P22607
P00533,P27361
Q02750,P27361
