DrugID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
11152667,0.659199905,0.33186618,0.363414046,0.306540808,0.32688398,0.361406436,0.34028319,0.38157035,0.327556034,0.408504372,0.307357604,0.464555275,0.350033759,0.526938192,0.606513021,0.68189687,6.89E-07,0.585831555,0.736883232,0.483692208,0.889492853,0.667467788,1.09E-06,0.488163576,0.405348759,0.390857758,0.882122905,0.940019879,0.919787261,0.38905927,0.620350296,0.362301988,0.397671637,0.999998998,0.379572679,0.430916524,0.54670287,0.359081981,0.76743472,0.161808514,0.76743472,0.802571437,0.277538985,0.805539284,0.286744462,0.827487262,0.286969421,0.362835792,0.386485913,0.94482255,0.5,9.94E-22,0.918732282,0.5,0.358206967,0.865038246,0.38583405,0.307072713,0.918049869,0.620811562,5.70E-08,0.214297517,0,0.980001175,0.880663973,0.363776432,0.826669772,0.683244613,3.61E-15,0.145980119,0.977808184,0.899613565,0.31225737,0.789306965,4.61E-10,0.99999513,0.257864006,0.556480749,0.404844316,0.203438325,0.396613874,0.545348096,0.738189984,0.167096874,0.448026329,0.986924807,0.390496217,0.593642978,0.27266654,5.30E-05,0.727743261,0.920825748,0.996767257,0,0.985051256,0.413871196,1.20E-11,0.938642135,0.429470287,0.256137386,2.99E-06,0.985041993,5.30E-05,0.741901135,5.30E-05,0.927697552,1,5.30E-05,5.30E-05,0.164664515,5.30E-05,0.998653446,0.723746012,0.020286834,5.71E-19,3.32E-10,9.64E-10,7.11E-15,5.84E-13,1.20E-20,0.165079548,0.167040631,0.166498334,0.166486816,0.797135339,0.930634119,7.11E-15,0.16834648,0.167982932,6.87E-10,0.935006288,0.999887438,0.000837777,0.166325734,0.163034142,0.165079548,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,0.955197547,2.64E-12,0.879726585,2.87E-10,0.377737848,0.004506168,0.133250251,0.358229365,1.61E-09,1.88E-18,2.09E-07,7.11E-15,0.499264281,0.164929402,1.32E-17,2.11E-16,1.17E-09,0.909514638,6.25E-10,0.168149182,0.165450729,1.17E-13,0,0.164668868,0.166924728,0,5.10E-08,7.11E-15,0.154654108,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,0.999979465,0,1,5.30E-05,0.156951066,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,1,4.70E-08,0.999999984,0.626524158
208908,0.070728522,0.967626592,0.894945521,0.864453098,0.893481146,0.899961027,0.845235011,0.916917172,0.817637213,0.917721795,0.746690492,0.821948313,0.699924275,0.750284817,0.738296583,0.641886294,6.89E-07,0.601211886,0.962571589,0.418562604,0.897546458,0.759022975,0.677484136,0.598222121,0.847641758,0.916675855,0.343733498,0.621864677,0.778710347,0.204490073,0.122048933,0.900725222,0.92409274,0.999998998,0.884617138,0.871161364,0.796923221,0.901426739,0.758523893,0.792109379,0.758523893,0.079185059,0.385486385,0.064495382,0.052765792,0.197656615,0.94867903,0.905610232,0.921397637,0.707278687,0.806327712,9.94E-22,0.142492255,0.062963133,0.964007726,0.92731029,0.98903775,0.910336415,0.731660206,0.867591456,5.70E-08,0.876844281,0,1.14E-21,2.40E-23,0.922895246,0.7795643,0.998337837,3.61E-15,0.145980119,1.74E-22,1.18E-10,0.059983379,0.95127737,4.61E-10,0.157072376,0.458139563,0.921761416,0.704922016,0.798763415,0.885181578,0.823134189,0.941899839,0.167096874,0.611367955,8.79E-24,0.261290335,0.706996405,0.947693732,5.30E-05,0.748992152,0.807817473,0.997123038,0.709806361,0.985489826,0.524205771,0.834372742,0.938642135,0.182256045,0.949960723,0.999490234,0.993459718,5.30E-05,0.8064083,5.30E-05,0.994717129,1,5.30E-05,5.30E-05,1,5.30E-05,0.998653446,0.606863405,0.01779424,5.71E-19,3.32E-10,9.64E-10,7.11E-15,5.84E-13,0.901222735,0.165079548,0.167040631,0.166498334,0.166486816,0.202864661,0.069365881,7.11E-15,0.16834648,0.167982932,0.522329168,0.838411761,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,7.14E-07,2.64E-12,0.923236754,2.87E-10,0.377737848,0.004506168,0.133250251,0.96401724,1.61E-09,0.914027309,2.09E-07,7.11E-15,0.499264281,0.164929402,0.76084478,1,1.17E-09,0.970069374,6.25E-10,0.168149182,0.165450729,1.17E-13,0,0.164668868,0.166924728,0,5.10E-08,7.11E-15,0.154654108,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,2.39E-20,0,8.34E-25,5.30E-05,0.156951066,4.03E-08,1.55E-23,1.59E-17,1,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,0.960706684,0.166633397,0.048185317
51001932,0.285840491,0.857677934,0.777915789,0.806024986,0.779778579,0.759763688,0.765134717,0.703694715,0.825946575,0.759938261,0.764983183,0.671353258,0.699356753,0.585097005,0.771796997,0.264869665,6.89E-07,0.222282605,0.365814407,0.873214281,9.26E-11,0.76502287,0.698884199,0.806183988,0.753652927,0.731011196,0.609961214,0.695039934,0.74614601,0.528931921,0.129074858,0.775150909,0.726632464,0.999998998,0.685670424,0.461794924,0.456158412,0.755558317,0.183021525,0.826717104,0.183021525,0.364978389,0.711485548,0.357512817,0.22443215,0.161578211,0.439356743,0.747546357,0.73363724,0.707278687,0.920168271,9.94E-22,0.918732282,0.5,0.358206967,0.952576381,0.917645021,0.956919425,0.47446924,0.808272143,5.70E-08,0.33566922,0,1.14E-21,2.40E-23,0.800796751,0.6068005,0.984376499,0.985211881,0.842363838,1.74E-22,1.18E-10,0.611799906,0.886065395,0.985616415,0.157072376,0.13923798,0.759161203,0.553043714,0.690627797,0.885181578,0.311205458,0.135141821,0.167096874,0.989251203,0.986924807,0.833603089,0.22941713,0.294139769,5.30E-05,0.781740463,0.624285293,6.95E-13,0.709806361,9.80E-13,0.672646149,0.707587784,0.947216808,0.722898771,0.36361653,2.99E-06,0.995915534,5.30E-05,0.861966831,5.30E-05,0.5,1,5.30E-05,5.30E-05,1,5.30E-05,0.998653446,0.95628955,0.020286834,5.71E-19,3.32E-10,9.64E-10,7.11E-15,5.84E-13,0.986762827,0.165079548,0.167040631,0.166498334,0.166486816,0.5,0.5,7.11E-15,0.16834648,0.167982932,0.987052199,0.001181573,0.999887438,0.000837777,0.166325734,0.163034142,0.165079548,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,0.753321287,2.64E-12,0.099912791,0.999529114,0.377737848,0.004506168,0.133250251,0.358229365,1.61E-09,0.997856192,2.09E-07,7.11E-15,0.499264281,0.164929402,0.76084478,2.11E-16,1.17E-09,3.26E-22,6.25E-10,0.168149182,0.999995363,1.17E-13,0,0.164668868,0.166924728,0,5.10E-08,7.11E-15,0.154654108,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,2.39E-20,0,1,5.30E-05,0.156951066,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,4.70E-08,0.166633397,0.341088776
17755052,0.111346836,0.892446532,0.769090164,0.782006179,0.830745752,0.808765941,0.79804478,0.901325584,0.796770955,0.924327904,0.823781237,0.932649427,0.826358322,0.936529599,0.742637772,0.4562858,6.89E-07,0.10021777,0.810528638,0.971014934,0.756737204,0.620849709,0.622805672,0.702050655,0.736328569,0.83980487,0.474443081,0.595653006,0.717976032,0.631203853,0.546616753,0.803724892,0.844949657,0.999998998,0.73242147,0.639717025,0.565544181,0.80734486,0.190974656,0.209555145,0.190974656,0.211005264,0.962373803,0.196685114,0.050565091,0.778341035,0.215613438,0.825403537,0.844459156,0.436076719,0.920168271,9.94E-22,0.957848306,0.937036867,0.358206967,0.952576381,0.917645021,0.956919425,0.47446924,0.909622211,5.70E-08,0.33566922,0,0.996527428,0.942792245,0.846452095,0.336448588,5.76E-21,0.995713216,0.902343624,1.74E-22,1.18E-10,0.640005787,0.923419521,0.983627263,0.99999513,0.257864006,0.068267999,0.988917574,0.971215778,0.975236207,0.497403147,0.964316771,0.167096874,0.970771349,8.79E-24,0.115823469,0.975140375,0.205098979,5.30E-05,0.731621751,0.286780456,0.984407356,0,0.985051256,0.958032993,0.805519665,2.86E-09,0.061830128,0.258085661,2.99E-06,0.995702777,5.30E-05,0.812806755,5.30E-05,0.952646965,1,5.30E-05,5.30E-05,0.999999977,5.30E-05,0.998653446,0.923153247,0.017706857,5.71E-19,3.32E-10,9.64E-10,7.11E-15,5.84E-13,0.962941752,0.999986066,0.167040631,0.166498334,0.166486816,0.202864661,0.069365881,7.11E-15,0.16834648,0.167982932,0.966842384,0.598257153,0.164332634,0.000837777,0.166325734,0.163034142,0.999986066,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,7.14E-07,2.64E-12,0.879726585,2.87E-10,0.377737848,0.004506168,0.133250251,0.358229365,1.61E-09,0.986914419,2.09E-07,7.11E-15,0.499264281,0.164929402,0.76084478,2.11E-16,1.17E-09,3.26E-22,6.25E-10,0.168149182,0.165450729,1.17E-13,0,0.164668868,0.166924728,0,5.10E-08,7.11E-15,0.154654108,0.999999971,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,2.39E-20,0.945900613,8.34E-25,5.30E-05,0.156951066,4.03E-08,1.55E-23,0.999956513,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,1,4.70E-08,0.166633397,0.269132587
3385,0.989926363,0.025923588,0.002033744,0.000627749,0.000416139,0.001875857,0.000802211,0.000890111,0.001049035,0.000424764,0.001137528,0.000633575,0.001323516,0.000737376,0.843281187,0.68189687,6.89E-07,0.10021777,0.149387796,2.51E-11,9.26E-11,0.343414967,0.445946354,2.39E-11,7.52E-13,0.001447432,0.958674172,0.908864343,0.559028081,2.16E-14,0.899091969,0.00190022,0.001955151,0.999998998,0.000723016,0.000595191,0.132747575,0.000803602,0.219538554,0.127823614,0.219538554,0.829295148,0.984243985,0.787382775,0.201768628,0.878184313,0.018440126,0.000574283,0.001446018,0.707278687,0.193672288,9.94E-22,0.142492255,0.062963133,0.034722889,0.865038246,0.083757738,0.084738831,0.731660206,0.207512384,5.70E-08,0.002152298,0,1.14E-21,2.40E-23,0.030513343,0.126940969,5.76E-21,3.61E-15,0.840232319,0.975481767,0.891884936,0.628295819,0.634174011,0.947865722,0.157072376,6.03E-26,0.023724068,0.150117828,0.027500884,0.026103288,0.176128602,0.07318165,0.167096874,0.416325857,8.79E-24,0.019854397,0.030449467,0.180058466,5.30E-05,1.43E-16,0.661017668,0.975876859,0,9.80E-13,0.03759275,1.20E-11,0.938642135,0.008253923,0.10023154,2.99E-06,0.277639012,5.30E-05,0.39506496,5.30E-05,0.5,1,5.30E-05,5.30E-05,0.164664515,5.30E-05,0.998653446,0.399820633,0.020286834,5.71E-19,3.32E-10,9.64E-10,7.11E-15,5.84E-13,0.901222735,0.999999997,0.167040631,0.166498334,0.166486816,0.202864661,0.069365881,7.11E-15,0.16834648,0.167982932,6.87E-10,0.838411761,0.164332634,0.000837777,0.166325734,0.163034142,0.999999997,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,7.14E-07,2.64E-12,0.099912791,2.87E-10,0.377737848,0.004506168,0.133250251,0.034729928,1.61E-09,1.88E-18,2.09E-07,7.11E-15,0.499264281,0.164929402,1.32E-17,2.11E-16,1.17E-09,0.909514638,6.25E-10,0.168149182,0.165450729,1.17E-13,0,0.164668868,0.166924728,0,5.10E-08,7.11E-15,0.154654108,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,2.39E-20,0,8.34E-25,5.30E-05,0.156951066,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,4.70E-08,0.166633397,0.332953077
11707110,0.684331896,0.971060244,0.859686928,0.818374998,0.875426588,0.839982513,0.790671562,0.818820698,0.805104485,0.842250748,0.794714339,0.799231679,0.789299292,0.77959887,0.880755527,0.887474676,6.89E-07,0.977819358,0.741196479,2.51E-11,0.958431444,0.887515549,0.61281717,0.338182268,7.52E-13,0.940008749,0.46411162,0.458968973,0.414634989,0.287159066,0.171769837,0.850730034,0.947740283,0.999998998,0.816529579,0.661978317,0.54917452,0.868272392,0.918430165,0.143612281,0.918430165,0.855360672,0.443870324,0.8631189,0.379240925,0.846375443,0.637328426,0.885412837,0.943770376,0.707278687,0.875952629,0.999952139,0.142492255,0.5,0.635287782,0.92731029,0.917645021,0.910336415,0.731660206,0.867591456,5.70E-08,0.33566922,0.895426771,1.14E-21,0.880663973,0.87346592,0.387962101,0.845703016,3.61E-15,0.842363838,0.993169404,0.891884936,0.984194009,0.789306965,4.61E-10,0.157072376,0.13923798,0.973598417,0.819603172,0.648604692,0.885181578,0.297677285,0.986067566,0.167096874,0.536133831,0.990962943,0.638519365,0.369717802,0.88953041,5.30E-05,0.699008328,0.963829527,0.998326546,0,0.993935322,0.181019176,0.550309964,0.97706996,0.600638855,0.703322239,2.99E-06,0.990977969,5.30E-05,0.810594602,5.30E-05,0.960490692,1,5.30E-05,5.30E-05,0.164664515,5.30E-05,0.998653446,0.833616599,0.021691361,5.71E-19,3.32E-10,9.64E-10,7.11E-15,5.84E-13,0.942307104,0.165079548,0.167040631,0.166498334,0.166486816,0.5,0.5,7.11E-15,0.16834648,0.167982932,0.713160824,0.838411761,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,0.753321287,2.64E-12,0.942785002,0.999529114,0.377737848,0.004506168,0.133250251,0.635349613,1.61E-09,0.914027309,2.09E-07,7.11E-15,0.499264281,0.164929402,1.32E-17,2.11E-16,1.17E-09,0.970069374,6.25E-10,0.168149182,0.165450729,1.17E-13,0,0.164668868,0.166924728,0,5.10E-08,7.11E-15,0.154654108,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,2.39E-20,0,8.34E-25,5.30E-05,0.999979121,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,4.70E-08,0.166633397,0.159375202
5330286,0.255976345,0.765496712,0.719040773,0.762159396,0.730187319,0.751512402,0.794642381,0.738525151,0.786762005,0.70968371,0.833919864,0.76069467,0.85494718,0.785907657,4.07E-10,0.511302312,6.89E-07,0.764898542,0.641872364,0.964887999,0.668050435,0.658567781,0.586458798,0.692559864,0.363529909,0.695726372,0.553668888,0.582874151,0.543098238,0.669655695,0.285552968,0.742817317,0.685176654,0.999998998,0.665741748,0.614425801,0.517936818,0.725018484,0.730722091,0.189465869,0.730722091,0.519169369,0.326608265,0.499569134,0.611005222,0.798949892,0.386994806,0.761671537,0.697550605,0.707278687,0.875952629,0.999952139,0.918732282,0.937036867,0.034722889,0.952576381,0.617764784,0.956919425,0.731660206,0.727065203,5.70E-08,0.33566922,0.895426771,0.980001175,0.942792245,0.773263562,0.628588894,0.708976473,0.985031854,0.84332052,0.975481767,1.18E-10,0.812646954,0.807739929,0.956623406,0.157072376,0.271046379,0.585836743,0.926105154,0.665631938,0.885181578,0.182881065,0.842678366,0.167096874,0.926438386,8.79E-24,0.780842217,0.864409037,0.343611215,5.30E-05,1.43E-16,0.91403239,0.997559793,0,9.80E-13,0.731164653,1.20E-11,0.947216808,0.86558922,0.241387563,2.99E-06,0.985912809,5.30E-05,0.799143181,5.30E-05,0.5,1,5.30E-05,5.30E-05,0.999768175,5.30E-05,0.998653446,0.933091033,0.020286834,5.71E-19,3.32E-10,9.64E-10,7.11E-15,5.84E-13,0.962941752,0.165079548,0.167040631,0.166498334,0.166486816,0.5,0.5,7.11E-15,0.16834648,0.167982932,0.924125044,0.838411761,0.164332634,0.000837777,0.166325734,0.163034142,0.165079548,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,7.14E-07,2.64E-12,0.942785002,0.999529114,0.377737848,0.004506168,0.133250251,0.034729928,1.61E-09,0.914027309,2.09E-07,7.11E-15,0.499264281,0.164929402,1.32E-17,2.11E-16,1.17E-09,3.26E-22,6.25E-10,0.168149182,0.165450729,1.17E-13,0,0.164668868,0.999999993,0.966151653,5.10E-08,7.11E-15,0.154654108,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,2.39E-20,0.945900613,8.34E-25,5.30E-05,0.999999156,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,4.70E-08,0.166633397,0.467356144
11640390,0.248827821,0.890543975,0.658131259,0.677038392,0.635528043,0.711526848,0.719473811,0.651146057,0.792153522,0.716504045,0.796977367,0.712038965,0.831533261,0.75340565,0.584017079,0.282315885,6.89E-07,0.218884702,0.531444948,0.865997306,9.26E-11,0.385584352,0.697444939,0.877431533,0.759110245,0.614290212,0.29490635,0.408214342,0.570029647,0.231280876,0.16504776,0.7065301,0.617973188,0.999998998,0.498103924,0.313551503,0.393291112,0.679263601,0.063851048,0.238333292,0.063851048,0.080854336,0.736337611,0.066063822,0.35013524,0.748978951,0.819429207,0.739704689,0.614191936,0.842343704,0.5,0.999952139,0.142492255,0.5,0.635287782,0.952576381,0.98903775,0.679604425,0.731660206,0.346464367,5.70E-08,0.117447624,0.895426771,1.14E-21,0.880663973,0.65053418,0.398713177,0.923637651,3.61E-15,0.145980119,1.74E-22,1.18E-10,0.286079358,0.88972811,4.61E-10,0.157072376,0.773842978,0.327316365,0.81943893,0.646109385,0.975236207,0.188415778,0.540517292,0.167096874,0.793866663,8.79E-24,0.617600278,0.198517925,0.811826652,5.30E-05,0.76020955,0.342157627,0.984407356,0,9.80E-13,0.393684823,1.20E-11,2.86E-09,0.602977347,0.893085409,2.99E-06,0.996481161,5.30E-05,0.68465486,5.30E-05,0.5,1,5.30E-05,5.30E-05,0.999999938,5.30E-05,0.998653446,0.749016643,0.020286834,5.71E-19,0.999247139,9.64E-10,1,5.84E-13,0.962941752,0.165079548,0.167040631,0.166498334,0.166486816,0.202864661,0.069365881,7.11E-15,0.16834648,0.167982932,0.844424204,0.001181573,0.999887438,0.000837777,0.166325734,0.163034142,0.165079548,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,7.14E-07,2.64E-12,0.879726585,2.87E-10,0.377737848,0.004506168,0.133250251,0.635349613,1.61E-09,0.986914419,2.09E-07,7.11E-15,0.499264281,0.164929402,1.32E-17,2.11E-16,1.17E-09,3.26E-22,6.25E-10,0.168149182,0.999995363,1.17E-13,0,0.164668868,0.166924728,0,5.10E-08,7.11E-15,0.154654108,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,2.39E-20,0,8.34E-25,5.30E-05,0.999979121,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,4.70E-08,0.166633397,0.27302657
11626560,0.345215757,0.60531032,0.618773207,0.573709399,0.649821767,0.62006284,0.595106121,0.615570176,0.586905724,0.606076422,0.619627946,0.647677197,0.602254318,0.654821606,0.780172741,0.242112143,6.89E-07,0.382727763,0.627734841,0.785278217,0.772897439,0.684096585,0.57778179,0.473776844,0.952761236,0.701054684,0.772835922,0.787999402,0.857925924,0.456266556,0.657246717,0.621989996,0.714845315,0.999998998,0.629870349,0.601160215,0.535084184,0.670228444,0.843956864,0.740675278,0.843956864,0.103849638,0.395125865,0.088070916,0.351130253,0.250104748,0.851366825,0.637244844,0.705645991,0.842343704,0.5,9.94E-22,0.918732282,0.5,0.358206967,0.92731029,0.617764784,0.679604425,0.731660206,0.727065203,5.70E-08,0.33566922,0,0.980001175,0.880663973,0.65053418,0.63942426,0.723323175,0.995661567,0.145980119,1.74E-22,1.18E-10,0.304725024,0.793950833,0.958049529,0.157072376,0.449667543,0.735470616,0.806714781,0.659998137,0.614412537,0.295503441,0.739566569,0.167096874,0.818770398,8.79E-24,0.626802303,0.603514344,0.52398647,5.30E-05,0.748510817,0.818752,0.993815846,0.709806361,0.994145554,0.348730893,1.20E-11,0.938642135,0.695089069,0.36361653,0.999999113,0.986041449,5.30E-05,0.563102098,5.30E-05,0.998917251,1,5.30E-05,5.30E-05,0.319879351,5.30E-05,0.998653446,0.869044378,0.020286834,5.71E-19,3.32E-10,9.64E-10,1,5.84E-13,0.942307104,0.165079548,0.167040631,0.166498334,0.166486816,0.202864661,0.069365881,7.11E-15,0.16834648,0.167982932,0.713160824,0.598257153,0.999887438,0.000837777,0.166325734,0.163034142,0.165079548,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,7.14E-07,2.64E-12,0.879726585,2.87E-10,0.377737848,0.004506168,0.133250251,0.358229365,1.61E-09,1.88E-18,2.09E-07,7.11E-15,0.499264281,0.164929402,0.76084478,2.11E-16,1.17E-09,0.987134747,6.25E-10,0.168149182,0.165450729,1.17E-13,0,0.164668868,0.166924728,0,5.10E-08,7.11E-15,0.154654108,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,0.999979465,0,8.34E-25,5.30E-05,0.999979121,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,4.70E-08,0.166633397,0.403644022
11488320,0.323229969,0.698261208,0.740349601,0.721385973,0.733785434,0.748243165,0.700237979,0.673075353,0.651891215,0.612521361,0.67948034,0.626959056,0.644067494,0.569411674,0.595593901,0.492758456,6.89E-07,0.758301639,0.844362584,0.61469468,0.776885418,0.895551746,1.09E-06,0.692559864,0.851994208,0.762584563,0.786970373,0.828460995,0.848383411,0.481498544,0.340501512,0.742817317,0.769269377,0.999998998,0.7417979,0.752644338,0.640981666,0.747937329,0.896555731,0.844148339,0.896555731,0.304242866,0.012057111,0.294362148,0.395074498,0.143088857,0.592927389,0.728142774,0.766942439,0.707278687,0.806327712,9.94E-22,0.918732282,0.5,0.635287782,0.865038246,0.617764784,0.82271511,0.731660206,0.808272143,5.70E-08,0.589125664,0,0.980001175,0.880663973,0.787443782,0.788309463,0.866559747,0.997972256,0.842363838,1.74E-22,1.18E-10,0.623754656,0.882406041,4.61E-10,0.157072376,0.357462438,0.308399995,0.75602459,0.901501038,0.614412537,0.750544184,0.911702508,0.167096874,0.822097739,8.79E-24,0.391837663,0.88543875,0.366724331,5.30E-05,0.732052162,0.901334408,0.997123038,0.773265811,0.985489826,0.816012813,0.245298863,0.938642135,0.215062147,0.36125782,0.999490234,0.9857295,5.30E-05,0.677997743,5.30E-05,0.993600388,1,5.30E-05,5.30E-05,0.999966071,5.30E-05,0.998653446,0.753151608,0.02345918,5.71E-19,3.32E-10,9.64E-10,7.11E-15,5.84E-13,0.901222735,0.165079548,0.167040631,0.166498334,0.166486816,0.5,0.5,7.11E-15,0.16834648,0.167982932,0.713160824,0.838411761,0.164332634,0.000837777,0.999999598,0.999620393,0.165079548,9.57E-08,3.50E-08,0.168206175,0.165806858,0.167346595,0.753321287,2.64E-12,0.923236754,2.87E-10,0.377737848,0.004506168,0.133250251,0.635349613,1.61E-09,0.914027309,2.09E-07,7.11E-15,0.499264281,0.164929402,0.847532931,2.11E-16,1.17E-09,0.970069374,6.25E-10,0.168149182,0.165450729,1.17E-13,0,0.164668868,0.166924728,0,5.10E-08,7.11E-15,0.999224706,2.79E-22,0,0.167639733,6.31E-25,0.16818613,0.009088503,0.168363202,8.27E-11,0.156346354,0,0,0.021135424,0.021135424,0.999979465,0,8.34E-25,5.30E-05,0.156951066,4.03E-08,1.55E-23,1.59E-17,5.77E-14,2.96E-11,0.168378369,0.167380186,1.48E-18,2.32E-16,4.70E-08,0.166633397,0.413386673
